k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
      61|[-0.0090975274287486, 0.0044023997660029, -0.0120035466531722, -0.0032388064390976, 0.3728938838350835, 0.0050534578335684, 0.0018698596879131, -0.0126194327593656, -0.0022245231600341]|142155.0312500000000000|      0.10000000|[1619, 244, 0, 122]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      62|[-0.0090975274287486, 0.0044023997660029, -0.0120035466531722, -0.0032388064390976, 0.3728938838350835, 0.0050534578335684, 0.0018698596879131, -0.0126194327593656, -0.0022245231600341]|142155.0312500000000000|      0.01000000|[1646, 248, 0, 124]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      63|[-0.0089795062422835, 0.004340689644682, -0.0118889439549854, -0.0035111198806524, 0.3828667160012023, 0.0047092814949177, 0.0018072516189379, -0.013097949248261, -0.001930860248716]|133432.2968750000000000|      0.10000000|[1673, 252, 0, 126]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      64|[-0.0089795062422835, 0.004340689644682, -0.0118889439549854, -0.0035111198806524, 0.3828667160012023, 0.0047092814949177, 0.0018072516189379, -0.013097949248261, -0.001930860248716]|133432.2968750000000000|      0.01000000|[1699, 256, 0, 128]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      65|[-0.0092255765748986, 0.0048785933913046, -0.0116846931326392, -0.0027045650134611, 0.3927765494900544, 0.0043234703502444, 0.001106373089565, -0.0129293429588031, -0.0016400837217289]|125168.8593750000000000|      0.10000000|[1725, 260, 0, 130]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      66|[-0.0092255765748986, 0.0048785933913046, -0.0116846931326392, -0.0027045650134611, 0.3927765494900544, 0.0043234703502444, 0.001106373089565, -0.0129293429588031, -0.0016400837217289]|125168.8593750000000000|      0.01000000|[1751, 264, 0, 132]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      67|[-0.0089740922649508, 0.0047822006216329, -0.01134496332157, -0.0022964420040691, 0.4027504738205905, 0.0042325937892085, 0.0008369798540755, -0.0131986071330728, -0.0017540237454377]|117247.3671875000000000|      0.10000000|[1778, 268, 0, 134]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      68|[-0.0089740922649508, 0.0047822006216329, -0.01134496332157, -0.0022964420040691, 0.4027504738205905, 0.0042325937892085, 0.0008369798540755, -0.0131986071330728, -0.0017540237454377]|117247.3671875000000000|      0.01000000|[1804, 272, 0, 136]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      69|[-0.0068730627375615, 0.0052828404157454, -0.0107162499115721, -0.0021653156591121, 0.4117558205526867, 0.0014757841449575, -0.0013803583863386, -0.0133793241530317, -0.0028840871762767]|110413.8515625000000000|      0.10000000|[1830, 276, 0, 138]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      70|[-0.0068730627375615, 0.0052828404157454, -0.0107162499115721, -0.0021653156591121, 0.4117558205526867, 0.0014757841449575, -0.0013803583863386, -0.0133793241530317, -0.0028840871762767]|110413.8515625000000000|      0.01000000|[1857, 280, 0, 140]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      71|[-0.0064384713468727, 0.0119511201087771, -0.0116934265732269, 0.0005296764964232, 0.4180155634366073, 0.0008516619461044, -0.0008680180745471, -0.0125538342442995, -0.0003131955730077]|105872.7812500000000000|      0.10000000|[1883, 284, 0, 142]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
